object_index,object_name,object_label,type_id,bbox_min_x_mm,bbox_min_y_mm,bbox_min_z_mm,bbox_max_x_mm,bbox_max_y_mm,bbox_max_z_mm,bbox_size_x_mm,bbox_size_y_mm,bbox_size_z_mm,solid_count,face_count,edge_count,volume_mm3
1,Part__Feature,door_panel_10door_H359,Part::Feature,-477.0,1496.0,-7.5,-40.0,1855.0,7.5,437.0,359.0,15.0,1,172,414,149150.0205
2,Part__Feature001,door_panel_10door_H360,Part::Feature,-477.0,1130.0,-7.5,-40.0,1489.0,7.5,437.0,359.0,15.0,1,172,414,149150.0205
3,Part__Feature002,door_panel_10door_H361,Part::Feature,-477.0,764.0,-7.5,-40.0,1123.0,7.5,437.0,359.0,15.0,1,172,414,149150.0205
4,Part__Feature003,door_panel_10door_H362,Part::Feature,-477.0,398.0,-7.5,-40.0,757.0,7.5,437.0,359.0,15.0,1,172,414,149150.0205
5,Part__Feature004,door_panel_10door_H363,Part::Feature,-477.0,32.0,-7.5,-40.0,391.0,7.5,437.0,359.0,15.0,1,172,414,149150.0205
6,Part__Feature005,door_panel_10door_H364,Part::Feature,40.0,1496.0,-7.5,477.0,1855.0,7.5,437.0,359.0,15.0,1,172,414,149150.0205
7,Part__Feature006,door_panel_10door_H365,Part::Feature,40.0,1130.0,-7.5,477.0,1489.0,7.5,437.0,359.0,15.0,1,172,414,149150.0205
8,Part__Feature007,door_panel_10door_H366,Part::Feature,40.0,764.0,-7.5,477.0,1123.0,7.5,437.0,359.0,15.0,1,172,414,149150.0205
9,Part__Feature008,door_panel_10door_H367,Part::Feature,40.0,398.0,-7.5,477.0,757.0,7.5,437.0,359.0,15.0,1,172,414,149150.0205
10,Part__Feature009,door_panel_10door_H368,Part::Feature,40.0,32.0,-7.5,477.0,391.0,7.5,437.0,359.0,15.0,1,172,414,149150.0205
11,SMOKE_16029_10DOOR_EQUALROW_export,SMOKE-16029-10DOOR-EQUALROW_export,App::Part,-477.0,32.0,-7.5,477.0,1855.0,7.5,954.0,1823.0,15.0,10,1720,4140,1491500.2054
19,Origin001,Origin001,App::Point,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
