feature_index,feature_name,solidworks_feature_type
1,收藏,FavoriteFolder
2,历史记录,HistoryFolder
3,选择集,SelectionSetFolder
4,传感器,SensorFolder
5,设计活页夹,DocsFolder
6,注解,DetailCabinet
7,标注,InkMarkupFolder
8,光源与相机,EnvFolder
9,Comments,CommentsFolder
10,方程式,EqnFolder
11,前视,RefPlane
12,上视,RefPlane
13,右视,RefPlane
14,原点,OriginProfileFeature
15,组合曲线1,CompositeCurve
16,模型,FtrFolder
17,标准寄存柜 模型-1,Reference
18,文件夹1___EndTag___0,FtrFolder
19,箱体左侧板焊接-1,Reference
20,箱体右侧板焊接-1,Reference
21,箱体竖隔板L焊接-1,Reference
22,箱体竖隔板R焊接-1,Reference
23,箱体横层板L焊接-1,Reference
24,箱体横层板R焊接-1,Reference
25,箱体横层板L焊接-3,ReferencePattern
26,箱体横层板L焊接-5,ReferencePattern
27,箱体横层板L焊接-7,ReferencePattern
28,箱体横层板L焊接-9,ReferencePattern
29,箱体横层板L焊接-11,ReferencePattern
30,上盖焊接-1,Reference
31,底座焊接-1,Reference
32,箱体竖隔板加强件-1,Reference
33,箱体竖隔板加强件-2,Reference
34,门框焊接-1,Reference
35,柜门模块,FtrFolder
36,电控锁ZJA-S500-1,Reference
37,电控锁ZJA-S500-7,Reference
38,储物柜门1╱12装配-1,Reference
39,储物柜门1╱12装配-2,Reference
40,储物柜门2╱12装配-3,Reference
41,储物柜门2╱12装配-2,Reference
42,储物柜门3╱12装配-1,Reference
43,储物柜门4╱12装配-1,Reference
44,储物柜门5╱12装配-1,Reference
45,储物柜门6╱12装配-1,Reference
46,储物柜门12╱12装配-1,Reference
47,应急维护门焊接-1,Reference
48,后下门板装配-1,Reference
49,文件夹1___EndTag___,FtrFolder
50,门轴销(短)-1,Reference
51,门轴销(短)-2,Reference
52,门轴销(短)-3,Reference
53,门轴销(短)-4,Reference
54,锁控板装配组件-1,Reference
55,电控锁ZJA-S500-2,ReferencePattern
56,电控锁ZJA-S500-3,ReferencePattern
57,电控锁ZJA-S500-4,ReferencePattern
58,储物柜门2╱12装配-4,ReferencePattern
59,储物柜门2╱12装配-5,ReferencePattern
60,储物柜门2╱12装配-6,ReferencePattern
61,储物柜门2╱12装配-7,ReferencePattern
62,储物柜门2╱12装配-8,ReferencePattern
63,储物柜门2╱12装配-9,ReferencePattern
64,电控锁ZJA-S500-5,ReferencePattern
65,电控锁ZJA-S500-6,ReferencePattern
66,储物柜门2╱12装配-10,ReferencePattern
67,储物柜门2╱12装配-11,ReferencePattern
68,储物柜门2╱12装配-12,ReferencePattern
69,储物柜门2╱12装配-13,ReferencePattern
70,电源插座(滤波器)-1,Reference
71,按钮插销装配-1,Reference
72,衣架钢管-1,Reference
73,衣架钢管-2,Reference
74,选装件,FtrFolder
75,顶棚组件-1,Reference
76,文件夹1___EndTag___2,FtrFolder
77,电控锁ZJA-S500-8,ReferencePattern
78,电控锁ZJA-S500-9,ReferencePattern
79,电控锁ZJA-S500-10,ReferencePattern
80,电控锁ZJA-S500-11,ReferencePattern
81,电控锁ZJA-S500-12,ReferencePattern
82,调整脚,FtrFolder
83,调整脚 M12X60(模型)-1,Reference
84,调整脚 M12X60(模型)-2,Reference
85,调整脚 M12X60(模型)-3,Reference
86,调整脚 M12X60(模型)-4,Reference
87,文件夹1___EndTag___1,FtrFolder
88,衣架钢管-3,ReferencePattern
89,衣架钢管-4,ReferencePattern
90,箱体横层板R焊接-12,ReferencePattern
91,箱体横层板R焊接-14,ReferencePattern
92,箱体横层板R焊接-16,ReferencePattern
93,箱体横层板R焊接-18,ReferencePattern
94,箱体横层板R焊接-20,ReferencePattern
95,配合,MateGroup
96,层板阵列,LocalLPattern
97,柜门阵列,LocalLPattern
98,衣架钢管整列,LocalLPattern
