mate_index,mate_name,solidworks_feature_type,mate_type_code,mate_type_name,alignment_code,can_be_flipped,flipped,suppressed,entity_count,has_dimension,dimension_display_name,dimension_full_name,dimension_system_value_m,dimension_value_mm,entity_index,component_name,component_path,reference_type_code,reference_surface_kind,reference_surface_identity,reference_select_id,entity_type_code,entity_params
1,重合1,MateCoincident,0,coincident,0,false,false,false,2,false,,,,,0,箱体竖隔板加强件-1,C:\sw16029_direct_18door\source\箱体竖隔板加强件.sldprt,2,plane,4001,,,
1,重合1,MateCoincident,0,coincident,0,false,false,false,2,false,,,,,1,箱体竖隔板加强件-2,C:\sw16029_direct_18door\source\箱体竖隔板加强件.sldprt,2,plane,4001,,,
2,重合2,MateCoincident,0,coincident,0,false,false,false,2,false,,,,,0,箱体竖隔板加强件-1,C:\sw16029_direct_18door\source\箱体竖隔板加强件.sldprt,2,plane,4001,,,
2,重合2,MateCoincident,0,coincident,0,false,false,false,2,false,,,,,1,箱体竖隔板加强件-2,C:\sw16029_direct_18door\source\箱体竖隔板加强件.sldprt,2,plane,4001,,,
3,同心3,MateConcentric,1,concentric,0,false,false,false,2,false,,,,,0,门框焊接-1/门框 上-1,C:\sw16029_direct_18door\source\门框 上.sldprt,2,cylinder,4002,,,
3,同心3,MateConcentric,1,concentric,0,false,false,false,2,false,,,,,1,门轴销(短)-1,C:\sw16029_direct_18door\source\门轴销(短).SLDPRT,2,cylinder,4002,,,
4,重合7,MateCoincident,0,coincident,1,false,false,false,2,false,,,,,0,上盖焊接-1/上盖壳体底板-1,C:\sw16029_direct_18door\source\上盖壳体底板.sldprt,2,plane,4001,,,
4,重合7,MateCoincident,0,coincident,1,false,false,false,2,false,,,,,1,锁控板装配组件-1/电路板支架-1,C:\sw16029_direct_18door\source\电路板支架.SLDPRT,2,plane,4001,,,
5,重合13,MateCoincident,0,coincident,1,false,false,false,2,false,,,,,0,箱体竖隔板L焊接-1/箱体竖隔板L-1,C:\sw16029_direct_18door\source\箱体竖隔板L.sldprt,2,plane,4001,,,
5,重合13,MateCoincident,0,coincident,1,false,false,false,2,false,,,,,1,电控锁ZJA-S500-1,C:\sw16029_direct_18door\source\电控锁ZJA-S500.SLDPRT,2,plane,4001,,,
6,同心11,MateConcentric,1,concentric,0,false,false,false,2,false,,,,,0,电控锁ZJA-S500-1,C:\sw16029_direct_18door\source\电控锁ZJA-S500.SLDPRT,2,cylinder,4002,,,
