path,solid_count,assembly_x_min,assembly_x_max,assembly_x_center,assembly_x_len,assembly_y_min,assembly_y_max,assembly_y_center,assembly_y_len,assembly_z_min,assembly_z_max,assembly_z_center,assembly_z_len,panel_found
C:\sw16029_direct_18door\source\structural_001_base.step,1,-500.0,500.0,0.0,1000.0,-0.0,26.8,13.4,26.8,-550.0,-36.8,-293.4,513.2,False
C:\sw16029_direct_18door\source\structural_002_base.step,1,-479.0,479.0,0.0,958.0,20.8,27.8,24.3,7.0,-529.0,-19.5,-274.25,509.5,False
C:\sw16029_direct_18door\source\structural_003_cabinet_body.step,1,0.5,500.0,250.25,499.5,23.8,1858.2,941.0,1834.4,-550.0,-19.5,-284.75,530.5,False
C:\sw16029_direct_18door\source\structural_004_cabinet_body.step,1,-500.0,14.7,-242.65,514.7,23.8,1858.2,941.0,1834.4,-550.0,-19.5,-284.75,530.5,False
C:\sw16029_direct_18door\source\structural_005_cabinet_body.step,1,-63.0,-21.2,-42.1,41.8,28.8,1858.2,943.5,1829.4,-548.2,-18.5,-283.35,529.7,False
C:\sw16029_direct_18door\source\structural_006_cabinet_body.step,1,21.2,63.0,42.1,41.8,28.8,1858.2,943.5,1829.4,-548.2,-18.5,-283.35,529.7,False
C:\sw16029_direct_18door\source\structural_007_cabinet_body.step,1,-61.7,61.7,0.0,123.4,667.8,689.8,678.8,22.0,-423.5,-123.5,-273.5,300.0,False
C:\sw16029_direct_18door\source\structural_008_clothes_rail.step,1,-15.0,15.0,0.0,30.0,-0.0,20.0,10.0,20.0,-44.2,44.2,-0.0,88.4,False
C:\sw16029_direct_18door\source\structural_009_door_frame.step,1,-498.6,498.6,0.0,997.2,1857.0,1917.0,1887.0,60.0,-45.0,0.0,-22.5,45.0,False
C:\sw16029_direct_18door\source\structural_010_door_frame.step,1,-498.6,498.6,0.0,997.2,-0.0,30.0,15.0,30.0,-45.0,0.0,-22.5,45.0,False
C:\sw16029_direct_18door\source\structural_011_door_frame.step,1,480.0,500.0,490.0,20.0,-0.0,1917.0,958.5,1917.0,-45.0,0.0,-22.5,45.0,False
C:\sw16029_direct_18door\source\structural_012_door_frame.step,1,-500.0,-480.0,-490.0,20.0,-0.0,1917.0,958.5,1917.0,-45.0,0.0,-22.5,45.0,False
