file_name,role_guess,quality_status,thickness_mm_from_name,manufacturing_bbox_source,bbox_width_mm,bbox_height_mm,raw_bbox_width_mm,raw_bbox_height_mm,closed_loop_count,open_endpoint_count,connected_component_count,circle_count,arc_count,line_count,polyline_count,warning_count,source_path
中控门板展开图.DXF,door_panel,geometry_rule_seed_only,,largest_closed_loop,472.5,638.5,472.5,638.5,2,0,2,8,2,66,0,2,C:\Users\Administrator\Desktop\参数化模板素材\16029 寄存柜(标准组合式 1917×1000×550)\10.备份\2.钣金展开图20190423\中控门板展开图.DXF
储物柜门板1╱12展开图.dxf,door_panel,needs_layout_filter,,raw_curve_bbox,473.4,181.9,473.4,181.9,0,0,1,4,2,65,0,5,C:\Users\Administrator\Desktop\参数化模板素材\16029 寄存柜(标准组合式 1917×1000×550)\10.备份\2.钣金展开图20190423\储物柜门板1╱12展开图.dxf
储物柜门板2╱12.dxf,door_panel,geometry_rule_seed_only,,largest_closed_loop,473.4,334.4,473.4,334.4,1,0,1,4,9,37,0,4,C:\Users\Administrator\Desktop\参数化模板素材\16029 寄存柜(标准组合式 1917×1000×550)\10.备份\2.钣金展开图20190423\储物柜门板2╱12.dxf
储物柜门板3╱12展开图.dxf,door_panel,needs_layout_filter,,raw_curve_bbox,946.8,973.8,946.8,973.8,0,0,1,4,2,65,0,5,C:\Users\Administrator\Desktop\参数化模板素材\16029 寄存柜(标准组合式 1917×1000×550)\10.备份\2.钣金展开图20190423\储物柜门板3╱12展开图.dxf
储物柜门板4╱12展开图.dxf,door_panel,needs_layout_filter,,raw_curve_bbox,946.8,1278.8,946.8,1278.8,0,0,1,4,2,65,0,5,C:\Users\Administrator\Desktop\参数化模板素材\16029 寄存柜(标准组合式 1917×1000×550)\10.备份\2.钣金展开图20190423\储物柜门板4╱12展开图.dxf
储物柜门板5╱12展开图.dxf,door_panel,needs_layout_filter,,raw_curve_bbox,946.8,1583.8,946.8,1583.8,0,0,1,4,2,65,0,5,C:\Users\Administrator\Desktop\参数化模板素材\16029 寄存柜(标准组合式 1917×1000×550)\10.备份\2.钣金展开图20190423\储物柜门板5╱12展开图.dxf
储物柜门板6╱12展开图.dxf,door_panel,needs_layout_filter,,raw_curve_bbox,946.8,1888.8,946.8,1888.8,0,0,1,4,2,65,0,5,C:\Users\Administrator\Desktop\参数化模板素材\16029 寄存柜(标准组合式 1917×1000×550)\10.备份\2.钣金展开图20190423\储物柜门板6╱12展开图.dxf
后下门板展开图.dxf,door_panel,needs_layout_filter,,raw_curve_bbox,1006.8,1908.8,1006.8,1908.8,0,0,1,30,4,48,0,5,C:\Users\Administrator\Desktop\参数化模板素材\16029 寄存柜(标准组合式 1917×1000×550)\10.备份\2.钣金展开图20190423\后下门板展开图.dxf
层板(控制安装)展开图.DXF,shelf,needs_closed_loop_rebuild,,raw_curve_bbox,478.7,360.6,478.7,360.6,0,0,31,48,128,204,0,3,C:\Users\Administrator\Desktop\参数化模板素材\16029 寄存柜(标准组合式 1917×1000×550)\10.备份\2.钣金展开图20190423\层板(控制安装)展开图.DXF
层板(控制安装2)展开图.DXF,shelf,needs_closed_loop_rebuild,,raw_curve_bbox_closed_loop_too_small,478.7,370.6,478.7,370.6,4,0,5,8,12,94,0,5,C:\Users\Administrator\Desktop\参数化模板素材\16029 寄存柜(标准组合式 1917×1000×550)\10.备份\2.钣金展开图20190423\层板(控制安装2)展开图.DXF
层板(电源安装)展开图.DXF,shelf,needs_closed_loop_rebuild,,raw_curve_bbox_closed_loop_too_small,478.7,330.6,478.7,330.6,2,0,28,72,100,182,0,3,C:\Users\Administrator\Desktop\参数化模板素材\16029 寄存柜(标准组合式 1917×1000×550)\10.备份\2.钣金展开图20190423\层板(电源安装)展开图.DXF
箱体横层板L展开图.dxf,shelf,needs_closed_loop_rebuild,,raw_curve_bbox_closed_loop_too_small,480.4,574.4,480.4,574.4,1,0,7,22,22,130,0,3,C:\Users\Administrator\Desktop\参数化模板素材\16029 寄存柜(标准组合式 1917×1000×550)\10.备份\2.钣金展开图20190423\箱体横层板L展开图.dxf
箱体横层板加强筋展开图.dxf,shelf,needs_layout_filter,,raw_curve_bbox,71.4,429.0,71.4,429.0,0,0,1,12,4,6,0,4,C:\Users\Administrator\Desktop\参数化模板素材\16029 寄存柜(标准组合式 1917×1000×550)\10.备份\2.钣金展开图20190423\箱体横层板加强筋展开图.dxf
