role	path	tx_mm	ty_mm	tz_mm	r11	r12	r13	r21	r22	r23	r31	r32	r33
cabinet_skeleton_12door_v2	D:\Winnsen_Structure_Agent_Studio\workers\generated_models\SW-NATIVE-16029-CABINET-SKELETON-SERIES-20260521\native_16029_12door_cabinet_skeleton_v2.SLDASM	0	0	0	1	0	0	0	1	0	0	0	1
maintenance_door_lock_hole	C:\sw16029_standard_ascii\维护门锁孔.SLDPRT	0	1751.5	-0.8	1	0	0	0	1	0	0	0	1
maintenance_door_panel	C:\sw16029_standard_ascii\应急维护门.SLDPRT	0	943	-16	1	0	0	0	1	0	0	0	1
auto_lock_latch	C:\sw16029_standard_ascii\自动锁闭插销(索科斯D-3016Z-2).SLDPRT	0	1795	-29.6	1	0	0	0	0	-1	0	1	0
push_latch_mount_plate	C:\sw16029_standard_ascii\按钮插销固定板.SLDPRT	0	1800.5	-20.1	1	0	0	0	0	1	0	-1	0
electronics_board_bracket	C:\sw16029_standard_ascii\电路板支架.SLDPRT	235	1860	-279.5	-1	0	0	0	1	0	0	0	-1
lock_control_board_24ch	C:\sw16029_standard_ascii\LK-4-6-V2.0 24口锁控板.SLDPRT	295	1872.6	-179	1	0	0	0	1	0	0	0	1
m9_v11_board	C:\sw16029_standard_ascii\M9 V1.1.SLDPRT	293.5	1871	-186.5	0	0	-1	0	1	0	1	0	0
switching_power_supply_assembly	C:\sw16029_standard_ascii\开关模式电源 装配.SLDASM	235	1861	-372	0	0	1	0	1	0	-1	0	0
wifi_serial_server	C:\sw16029_standard_ascii\WIFI串口服务器(USR-WIFI232-610).SLDPRT	151.75	1861	-182	-1	0	0	0	1	0	0	0	-1
