object_index,object_name,object_label,type_id,valid,solid_count,face_count,edge_count,volume_mm3,min_x,min_y,min_z,max_x,max_y,max_z,size_x,size_y,size_z
1,Part__Feature,Open CASCADE STEP translator 7.8 1,Part::Feature,True,1,254,662,1614306.0053,-500.0,23.8,-550.0,14.7,1858.2,-19.5,514.7,1834.4,530.5
2,Part__Feature001,Open CASCADE STEP translator 7.8 001,Part::Feature,True,1,170,526,72302.8823,-499.0,30.6,-173.5,-494.2,1836.4,-123.5,4.8,1805.8,50.0
3,Part__Feature002,Open CASCADE STEP translator 7.8 002,Part::Feature,True,1,84,222,107460.8557,-61.2,29.8,-549.0,-27.0,1837.2,-525.0,34.2,1807.4,24.0
4,Part__Feature003,Open CASCADE STEP translator 7.8 003,Part::Feature,True,1,170,526,72302.8823,-499.0,30.6,-423.5,-494.2,1836.4,-373.5,4.8,1805.8,50.0
5,Part__Feature004,Open CASCADE STEP translator 7.8 004,Part::Feature,True,1,170,526,72302.8823,-306.1,30.6,-549.0,-256.1,1836.4,-544.2,50.0,1805.8,4.8
6,Part__Feature005,Open CASCADE STEP translator 7.8 005,Part::Feature,True,1,68,158,3596.2204,-499.2,1772.4,-317.7,-479.2,1802.4,-229.3,20.0,30.0,88.4
7,Part__Feature006,Open CASCADE STEP translator 7.8 006,Part::Feature,True,1,68,158,3596.2204,-499.2,857.4,-317.7,-479.2,887.4,-229.3,20.0,30.0,88.4
8,Part__Feature007,Open CASCADE STEP translator 7.8 007,Part::Feature,True,1,252,656,1602713.5749,0.5,23.8,-550.0,500.0,1858.2,-19.5,499.5,1834.4,530.5
9,Part__Feature008,Open CASCADE STEP translator 7.8 008,Part::Feature,True,1,170,526,72302.8823,494.2,30.6,-173.5,499.0,1836.4,-123.5,4.8,1805.8,50.0
10,Part__Feature009,Open CASCADE STEP translator 7.8 009,Part::Feature,True,1,84,222,107460.8557,27.0,29.8,-549.0,61.2,1837.2,-525.0,34.2,1807.4,24.0
